species_name,class_id_label,class_name_label,Response,prompt
Psalidaster fisheri,0,fish,"{ ""species_name"": ""Psalidaster fisheri"", ""traits"": { ""color"": ""reddish-brown"", ""body_shape"": ""pentagonal, inflated body"", ""habitat"": ""deep-sea environments"", ""size"": ""up to 15 centimeters in diameter"", ""diet"": ""small invertebrates, such as crustaceans"", ""special"": ""large, spherical eyes and five short, broad-based arms"" } }","Write in a json format of the marine species Psalidaster fisheri with the following traits: Color: {traits['color']}, Shape: {traits['body_shape']}, Habitat: {traits['habitat']}, Size: {traits['size']}, Diet: {traits['diet']}, Notable feature: {traits['special']}"
Odontohenricia fisheri,0,fish,"{ ""species_name"": ""Odontohenricia fisheri"", ""traits"": { ""color"": ""pale brown with darker brown or reddish-brown markings"", ""body_shape"": ""heart-shaped body"", ""habitat"": ""deep-sea environments, typically on muddy or clay substrates"", ""size"": ""up to 7 centimeters in length"", ""diet"": ""small invertebrates, organic detritus"", ""special"": ""prominent, tooth-like spines on its arms"" } }","Write in a json format of the marine species Odontohenricia fisheri with the following traits: Color: {traits['color']}, Shape: {traits['body_shape']}, Habitat: {traits['habitat']}, Size: {traits['size']}, Diet: {traits['diet']}, Notable feature: {traits['special']}"
Leptasterias fisheri,0,fish,"{ ""species_name"": ""Leptasterias fisheri"", ""traits"": { ""color"": ""reddish-brown to dark brown"", ""body_shape"": ""pentagonal, slightly curved body"", ""habitat"": ""deep-sea environments, often found in areas with soft sediments"", ""size"": ""up to 10 centimeters in diameter"", ""diet"": ""small invertebrates, such as crustaceans and mollusks"", ""special"": ""long, slender arms with numerous small, moveable spines"" } }","Write in a json format of the marine species Leptasterias fisheri with the following traits: Color: {traits['color']}, Shape: {traits['body_shape']}, Habitat: {traits['habitat']}, Size: {traits['size']}, Diet: {traits['diet']}, Notable feature: {traits['special']}"
Nepanthia fisheri,0,fish,"{ ""species_name"": ""Nepanthia fisheri"", ""traits"": { ""color"": ""reddish-brown"", ""body_shape"": ""pentagonal, slightly inflated body"", ""habitat"": ""deep-sea environments, particularly on muddy or clay substrates"", ""size"": ""up to 12 centimeters in diameter"", ""diet"": ""small invertebrates, detritus"", ""special"": ""numerous, short, blunt spines covering its body and arms"" } }","Write in a json format of the marine species Nepanthia fisheri with the following traits: Color: {traits['color']}, Shape: {traits['body_shape']}, Habitat: {traits['habitat']}, Size: {traits['size']}, Diet: {traits['diet']}, Notable feature: {traits['special']}"
Hippocampus fisheri,0,fish,"{ ""species_name"": ""Hippocampus fisheri"", ""traits"": { ""color"": ""yellowish or orange with tiny, darker spots"", ""body_shape"": ""elongated body with a distinctive horse-like head"", ""habitat"": ""warm, shallow waters, typically among coral reefs or seaweed"", ""size"": ""up to 15 centimeters in length"", ""diet"": ""small crustaceans, such as brine shrimp and plankton"", ""special"": ""prehensile tail used for grasping onto coral or seaweed"" } }","Write in a json format of the marine species Hippocampus fisheri with the following traits: Color: {traits['color']}, Shape: {traits['body_shape']}, Habitat: {traits['habitat']}, Size: {traits['size']}, Diet: {traits['diet']}, Notable feature: {traits['special']}"
Parametra fisheri,0,fish,"{ ""species_name"": ""Parametra fisheri"", ""traits"": { ""color"": ""dark brown or black"", ""body_shape"": ""long, slender body with feathery arms"", ""habitat"": ""deep-sea environments, often found near underwater mountains or ridges"", ""size"": ""up to 60 centimeters in length"", ""diet"": ""small invertebrates, such as crustaceans and mollusks"", ""special"": ""feathery arms with numerous, tiny, finger-like appendages"" } }","Write in a json format of the marine species Parametra fisheri with the following traits: Color: {traits['color']}, Shape: {traits['body_shape']}, Habitat: {traits['habitat']}, Size: {traits['size']}, Diet: {traits['diet']}, Notable feature: {traits['special']}"
Henricia fisheri,0,fish,"{ ""species_name"": ""Henricia fisheri"", ""traits"": { ""color"": ""brown or reddish-brown"", ""body_shape"": ""rounded, somewhat flattened body"", ""habitat"": ""rocky areas or reefs in shallow to moderate depths"", ""size"": ""up to 25 centimeters in diameter"", ""diet"": ""small invertebrates, detritus"", ""special"": ""short, stout arms with suckers on the underside for grasping and crawling"" } }","Write in a json format of the marine species Henricia fisheri with the following traits: Color: {traits['color']}, Shape: {traits['body_shape']}, Habitat: {traits['habitat']}, Size: {traits['size']}, Diet: {traits['diet']}, Notable feature: {traits['special']}"
Mithrodia fisheri,0,fish,"{ ""species_name"": ""Mithrodia fisheri"", ""traits"": { ""color"": ""pale yellow or cream with faint brown stripes"", ""body_shape"": ""heart-shaped body"", ""habitat"": ""warm, shallow waters, typically on sandy or muddy bottoms"", ""size"": ""up to 20 centimeters in length"", ""diet"": ""small invertebrates, such as crustaceans and mollusks"", ""special"": ""brittle stars with very long, slender arms and a distinctive pentagonal central disc"" } }","Write in a json format of the marine species Mithrodia fisheri with the following traits: Color: {traits['color']}, Shape: {traits['body_shape']}, Habitat: {traits['habitat']}, Size: {traits['size']}, Diet: {traits['diet']}, Notable feature: {traits['special']}"
Gracilaria fisheri,0,fish,"{ ""species_name"": ""Gracilaria fisheri"", ""traits"": { ""color"": ""reddish-brown to dark red"", ""body_shape"": ""branching, feathery structure"", ""habitat"": ""warm, shallow waters, typically attached to rocks or reefs"", ""size"": ""up to 30 centimeters in height"", ""diet"": ""photosynthetic algae, absorbs nutrients from the water"", ""special"": ""delicate, lacy fronds with a soft, gelatinous texture"" } }","Write in a json format of the marine species Gracilaria fisheri with the following traits: Color: {traits['color']}, Shape: {traits['body_shape']}, Habitat: {traits['habitat']}, Size: {traits['size']}, Diet: {traits['diet']}, Notable feature: {traits['special']}"
Phascolosoma (Fisherana) capitatum,0,fish,"{ ""species_name"": ""Phascolosoma (Fisherana) capitatum"", ""traits"": { ""color"": ""grayish-brown to dark brown"", ""body_shape"": ""elongated, worm-like body with a distinctive proboscis"", ""habitat"": ""deep-sea environments, often found in areas with soft sediments"", ""size"": ""up to 20 centimeters in length"", ""diet"": ""detritivore, feeds on organic matter"", ""special"": ""fleshy, rounded proboscis used for capturing food particles from the seafloor"" } }","Write in a json format of the marine species Phascolosoma (Fisherana) capitatum with the following traits: Color: {traits['color']}, Shape: {traits['body_shape']}, Habitat: {traits['habitat']}, Size: {traits['size']}, Diet: {traits['diet']}, Notable feature: {traits['special']}"
